date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2017-05-10,38.19,38.65,38.13,38.45,22608241,22608241,0.23,0.602,38.4363,"May 10, 17",-0.08713200379867034
2017-05-11,38.45,38.55,38.2149,38.44,16542920,16542920,-0.01,-0.026,38.4087,"May 11, 17",-0.08736942070275404
2017-05-12,38.49,38.61,38.31,38.49,13770104,13770104,0.05,0.13,38.4658,"May 12, 17",-0.08618233618233608
2017-05-15,38.52,38.69,38.41,38.59,21398982,21398982,0.1,0.26,38.5701,"May 15, 17",-0.08380816714150034
2017-05-16,38.68,38.76,38.19,38.19,21599535,21599535,-0.4,-1.037,38.3917,"May 16, 17",-0.0933048433048433
2017-05-17,37.98,38.04,37.45,37.46,29665780,29665780,-0.73,-1.911,37.6767,"May 17, 17",-0.1106362773029439
2017-05-18,37.5,38.14,37.46,37.95,25743917,25743917,0.49,1.308,37.9416,"May 18, 17",-0.09900284900284888
2017-05-19,38.04,38.29,37.89,38.24,20350624,20350624,0.29,0.764,38.1674,"May 19, 17",-0.09211775878442535
2017-05-22,38.24,38.35,38.17,38.25,14822039,14822039,0.01,0.026,38.2405,"May 22, 17",-0.09188034188034183
2017-05-23,38.26,38.415,38.21,38.31,13535259,13535259,0.06,0.157,38.3001,"May 23, 17",-0.09045584045584035
2017-05-24,38.31,38.36,38.08,38.15,15645676,15645676,-0.16,-0.418,38.1671,"May 24, 17",-0.09425451092117756
2017-05-25,38.12,38.34,38.11,38.23,14892549,14892549,0.08,0.21,38.2522,"May 25, 17",-0.09235517568850904
2017-05-26,38.21,38.25,38.01,38.12,13725914,13725914,-0.11,-0.288,38.1034,"May 26, 17",-0.0949667616334283
2017-05-30,38.19,38.68,38.19,38.55,20527217,20527217,0.43,1.128,38.5103,"May 30, 17",-0.08475783475783477
2017-05-31,38.65,38.87,38.51,38.53,24040423,24040423,-0.02,-0.052,38.6082,"May 31, 17",-0.08523266856600181
2017-06-01,38.68,38.89,38.52,38.87,17691212,17691212,0.34,0.882,38.7146,"Jun 1, 17",-0.0771604938271605
2017-06-02,39,39.08,38.76,38.87,18529027,18529027,0,0,38.8925,"Jun 2, 17",-0.0771604938271605
2017-06-05,38.81,38.86,38.57,38.81,13821863,13821863,-0.06,-0.154,38.7645,"Jun 5, 17",-0.07858499525166181
2017-06-06,38.78,38.92,38.65,38.73,16218315,16218315,-0.08,-0.206,38.7826,"Jun 6, 17",-0.0804843304843305
2017-06-07,38.85,38.87,38.54,38.76,16429432,16429432,0.03,0.077,38.7199,"Jun 7, 17",-0.07977207977207976
2017-06-08,38.81,38.84,38.42,38.5,20272048,20272048,-0.26,-0.671,38.5908,"Jun 8, 17",-0.08594491927825255
2017-06-09,38.63,38.8,38.551,38.79,18398257,18398257,0.29,0.753,38.6784,"Jun 9, 17",-0.07905982905982903
2017-06-12,38.8,39.37,38.8,39.07,22779929,22779929,0.28,0.722,39.0898,"Jun 12, 17",-0.07241215574548901
2017-06-13,39.01,39.01,38.58,38.68,18842056,18842056,-0.39,-0.998,38.7567,"Jun 13, 17",-0.08167141500474828
2017-06-14,38.79,38.81,38.5,38.72,16356187,16356187,0.04,0.103,38.6505,"Jun 14, 17",-0.08072174738841402
2017-06-15,38.67,38.9,38.64,38.84,16686186,16686186,0.12,0.31,38.7986,"Jun 15, 17",-0.07787274453941107
2017-06-16,38.97,39,38.66,38.96,29734739,29734739,0.12,0.309,38.9034,"Jun 16, 17",-0.07502374169040828
2017-06-19,38.98,38.98,38.685,38.91,20957794,20957794,-0.05,-0.128,38.8423,"Jun 19, 17",-0.07621082621082624
2017-06-20,38.77,38.92,38.6,38.66,21738797,21738797,-0.25,-0.643,38.7123,"Jun 20, 17",-0.0821462488129155
2017-06-21,38.64,38.67,37.85,38.15,24597739,24597739,-0.51,-1.319,38.1987,"Jun 21, 17",-0.09425451092117756
2017-06-22,38.19,38.35,37.965,38.1,16200953,16200953,-0.05,-0.131,38.1629,"Jun 22, 17",-0.09544159544159535
2017-06-23,38.16,38.16,37.82,37.95,22906645,22906645,-0.15,-0.394,37.9691,"Jun 23, 17",-0.09900284900284888
2017-06-26,37.94,38.28,37.86,38.15,18403775,18403775,0.2,0.527,38.139,"Jun 26, 17",-0.09425451092117756
2017-06-27,37.84,37.88,37.6,37.7,19862049,19862049,-0.45,-1.18,37.7599,"Jun 27, 17",-0.10493827160493815
2017-06-28,37.88,38.065,37.78,37.94,20345237,20345237,0.24,0.637,37.9125,"Jun 28, 17",-0.09924026590693258
2017-06-29,37.87,37.98,37.62,37.62,23717920,23717920,-0.32,-0.843,37.7731,"Jun 29, 17",-0.10683760683760685
2017-06-30,37.73,37.87,37.54,37.73,22540739,22540739,0.11,0.292,37.7041,"Jun 30, 17",-0.10422602089268758
2017-07-03,37.84,38.13,37.785,38.11,11124346,11124346,0.38,1.007,38.0037,"Jul 3, 17",-0.09520417853751183
2017-07-05,38.11,38.21,37.85,38.12,20084860,20084860,0.01,0.026,38.0249,"Jul 5, 17",-0.0949667616334283
2017-07-06,37.59,37.695,37.18,37.18,20807681,20807681,-0.94,-2.466,37.4088,"Jul 6, 17",-0.1172839506172839
2017-07-07,37.18,37.23,36.82,36.98,20840791,20840791,-0.2,-0.538,36.9585,"Jul 7, 17",-0.12203228869895538
2017-07-10,36.96,37.08,36.82,36.83,22775155,22775155,-0.15,-0.406,36.9202,"Jul 10, 17",-0.1255935422602089
2017-07-11,36.83,36.86,36.54,36.6,21588516,21588516,-0.23,-0.624,36.6404,"Jul 11, 17",-0.13105413105413097
